0,1,2,3
Energy by Years of Birth,,,
Middle Era 1924 - 1982,,,
Women	,Звезда,Цвет,Element
1924.0,2.0,Черный,Earth
1925.0,3.0,Нефрит,Wood
1926.0,4.0,Зеленый,Wood
1927.0,5.0,Желтый,Earth
1928.0,6.0,Белый,Metal
1929.0,7.0,Красный,Metal
1930.0,8.0,Белый,Earth
1931.0,9.0,Фиолетовый,Fire
1932.0,1.0,Белый,Water
1933.0,2.0,Черный,Earth
1934.0,3.0,Нефрит,Wood
1935.0,4.0,Зеленый,Wood
1936.0,5.0,Желтый,Earth
1937.0,6.0,Белый,Metal
1938.0,7.0,Красный,Metal
1939.0,8.0,Белый,Earth
1940.0,9.0,Фиолетовый,Fire
1941.0,1.0,Белый,Water
1942.0,2.0,Черный,Earth
1943.0,3.0,Нефрит,Wood
1944.0,4.0,Зеленый,Wood
1945.0,5.0,Желтый,Earth
1946.0,6.0,Белый,Metal
1947.0,7.0,Красный,Metal
1948.0,8.0,Белый,Earth
1949.0,9.0,Фиолетовый,Fire
1950.0,1.0,Белый,Water
1951.0,2.0,Черный,Earth
1952.0,3.0,Нефрит,Wood
1953.0,4.0,Зеленый,Wood
1954.0,5.0,Желтый,Earth
1955.0,6.0,Белый,Metal
1956.0,7.0,Красный,Metal
1957.0,8.0,Белый,Earth
1958.0,9.0,Фиолетовый,Fire
1959.0,1.0,Белый,Water
1960.0,2.0,Черный,Earth
1961.0,3.0,Нефрит,Wood
1962.0,4.0,Зеленый,Wood
1963.0,5.0,Желтый,Earth
1964.0,6.0,Белый,Metal
1965.0,7.0,Красный,Metal
1966.0,8.0,Белый,Earth
1967.0,9.0,Фиолетовый,Fire
1968.0,1.0,Белый,Water
1969.0,2.0,Черный,Earth
1970.0,3.0,Нефрит,Wood
1971.0,4.0,Зеленый,Wood
1972.0,5.0,Желтый,Earth
1973.0,6.0,Белый,Metal
1974.0,7.0,Красный,Metal
1975.0,8.0,Белый,Earth
1976.0,9.0,Фиолетовый,Fire
1977.0,1.0,Белый,Water
1978.0,2.0,Черный,Earth
1979.0,3.0,Нефрит,Wood
1980.0,4.0,Зеленый,Wood
1981.0,5.0,Желтый,Earth
1982.0,6.0,Белый,Metal
1983.0,7.0,Красный,Metal
1984.0,8.0,Белый,Earth
1985.0,9.0,Фиолетовый,Fire
1986.0,1.0,Белый,Water
1987.0,2.0,Черный,Earth
1988.0,3.0,Нефрит,Wood
1989.0,4.0,Зеленый,Wood
1990.0,5.0,Желтый,Earth
1991.0,6.0,Белый,Metal
1992.0,7.0,Красный,Metal
1993.0,8.0,Белый,Earth
1994.0,9.0,Фиолетовый,Fire
1995.0,1.0,Белый,Water
1996.0,2.0,Черный,Earth
1997.0,3.0,Нефрит,Wood
1998.0,4.0,Зеленый,Wood
1999.0,5.0,Желтый,Earth
2000.0,6.0,Белый,Metal
2001.0,7.0,Красный,Metal
2002.0,8.0,Белый,Earth
2003.0,9.0,Фиолетовый,Fire
2004.0,1.0,Белый,Water
2005.0,2.0,Черный,Earth
2006.0,3.0,Нефрит,Wood
2007.0,4.0,Зеленый,Wood
2008.0,5.0,Желтый,Earth
2009.0,6.0,Белый,Metal
2010.0,7.0,Красный,Metal
2011.0,8.0,Белый,Earth
2012.0,9.0,Фиолетовый,Fire
2013.0,1.0,Белый,Water
2014.0,2.0,Черный,Earth
2015.0,3.0,Нефрит,Wood
2016.0,4.0,Зеленый,Wood
2017.0,5.0,Желтый,Earth
2018.0,6.0,Белый,Metal
2019.0,7.0,Красный,Metal
2020.0,8.0,Белый,Earth
2021.0,9.0,Фиолетовый,Fire
2022.0,1.0,Белый,Water
2023.0,2.0,Черный,Earth
2024.0,3.0,Нефрит,Wood
2025.0,4.0,Зеленый,Wood
2026.0,5.0,Желтый,Earth
2027.0,6.0,Белый,Metal
2028.0,7.0,Красный,Metal
2029.0,8.0,Белый,Earth
2030.0,9.0,Фиолетовый,Fire
2031.0,1.0,Белый,Water
2032.0,2.0,Черный,Earth
2033.0,3.0,Нефрит,Wood
2034.0,4.0,Зеленый,Wood
2035.0,5.0,Желтый,Earth
2036.0,6.0,Белый,Metal
2037.0,7.0,Красный,Metal
2038.0,8.0,Белый,Earth
2039.0,9.0,Фиолетовый,Fire
2040.0,1.0,Белый,Water
2041.0,2.0,Черный,Earth
2042.0,3.0,Нефрит,Wood
2043.0,4.0,Зеленый,Wood
